04/20/2026,BALANCE PROTECTION INSURA,2.28,,192.16
04/20/2026,BALANCE PROTECTION TAX,0.18,,189.88
04/19/2026,TST-Eggspectation,12.43,,189.70
04/19/2026,PRESTO GOOG/RKRBH6XDZ6,10.00,,177.27
04/18/2026,TST-Eggspectation,12.43,,167.27
04/18/2026,SEPHORA EATON CENTRE,146.90,,154.84
04/17/2026,PAYMENT - THANK YOU,,521.66,7.94
04/15/2026,HMART - DUNDAS,7.94,,529.60
04/15/2026,T&T SUPERMARKET #038,38.96,,521.66
04/14/2026,SHOPPERS DRUG MART #85,16.52,,482.70
04/12/2026,TST-Eggspectation,12.43,,466.18
04/11/2026,TST-Eggspectation,12.43,,453.75
04/11/2026,FOOT LOCKER CANADA,150.00,,441.32
04/11/2026,JIN DAL LAE,58.74,,291.32
04/10/2026,CHATIME CHA89,6.55,,232.58
04/10/2026,BIG WAY HOT POT KTOWN,23.82,,226.03
04/08/2026,CANADIAN TIRE #600,11.06,,202.21
04/08/2026,STARBUCKS 8007827282,35.70,,191.15
04/08/2026,ANTHROPIC,20.46,,155.45
04/07/2026,RABBA FINE FOODS #187,6.59,,134.99
04/06/2026,TST-Eggspectation,12.43,,128.40
04/06/2026,CHARTWELLS-STARBUCK-27065,6.50,,115.97
04/06/2026,T&T SUPERMARKET #038,6.29,,109.47
04/05/2026,TST-Eggspectation,12.43,,103.18
04/04/2026,TST-Eggspectation,12.43,,90.75
04/03/2026,TST-Eggspectation,12.43,,78.32
04/01/2026,T&T SUPERMARKET #038,56.18,,65.89
04/01/2026,PAYMENT - THANK YOU,,155.98,9.71
04/01/2026,DIGITALOCEAN.COM,9.71,,165.69
03/29/2026,TST-Eggspectation,12.43,,155.98
03/28/2026,TST-Eggspectation,12.43,,143.55
03/25/2026,SHOPPERS DRUG MART #14,3.27,,131.12
03/24/2026,KREAM,15.59,,127.85
03/24/2026,DOLLARAMA #0994,7.91,,112.26
03/24/2026,METRO  804,8.87,,104.35
03/22/2026,TST-Eggspectation,12.43,,95.48
03/19/2026,TST-Eggspectation,18.64,,83.05
03/19/2026,TST-Eggspectation,15.26,,64.41
03/19/2026,KERNELS POPCORN,11.85,,49.15
